
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.320	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	Box 3
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Ch 2	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Ch 3	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Ch 4	Oxygen Sensor Spot / FTC (trace range)	umol/l	OFF	TD7-487-066	3	ON External	20.000	ON	1013	33.000	30%	400x	250	ON fiber length	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	4.700	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	23.473	1011	100.000	20.950	48.700	6.733	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	4.700	
Ch 2	Factory 0% Calibration	Ambient Air	20.000	23.708	1011	70.242	20.950	48.700	6.724	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	4.700	
Ch 3	Factory 0% Calibration	Ambient Air	20.000	23.788	1011	69.640	20.950	48.700	6.733	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	4.700	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	23.832	1011	100.000	20.950	48.700	6.766	0.827	0.075	470	0.874	-0.350	0.577	0.000	-0.000106	4.700	
Data	Smoothing:	3	
Date:	11/11/2025	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11/11/2025	18:56:37	0.00		196.00	194.15	194.31	195.00	26.888	26.888	26.888	26.888	1010.16	68.333	26.888	---	---	6.811	6.905	6.914	6.889	58.426	71.004	29.238	59.440	0.671	0.838	0.666	0.654	
11/11/2025	18:56:42	5.03		195.84	194.03	194.47	195.19	26.889	26.889	26.889	26.889	1010.12	68.351	26.889	---	---	6.815	6.908	6.910	6.884	58.427	71.004	29.239	59.445	0.682	0.848	0.672	0.662	
11/11/2025	18:56:47	10.03		195.98	193.97	194.69	195.37	26.890	26.890	26.890	26.890	1010.16	68.379	26.890	---	---	6.811	6.910	6.904	6.879	58.425	71.018	29.244	59.442	0.685	0.842	0.676	0.672	
11/11/2025	18:56:52	15.02		196.12	193.91	194.72	195.48	26.891	26.891	26.891	26.891	1010.20	68.424	26.891	---	---	6.808	6.911	6.904	6.876	58.422	71.028	29.253	59.438	0.687	0.846	0.682	0.670	
11/11/2025	18:56:57	20.03		196.23	193.81	194.79	195.34	26.893	26.893	26.893	26.893	1010.24	68.463	26.893	---	---	6.805	6.913	6.902	6.880	58.419	71.039	29.248	59.436	0.681	0.852	0.686	0.663	
11/11/2025	18:57:02	25.03		196.11	193.89	194.52	195.37	26.894	26.894	26.894	26.894	1010.24	68.508	26.894	---	---	6.808	6.911	6.908	6.879	58.424	71.036	29.242	59.438	0.684	0.852	0.675	0.660	
11/11/2025	18:57:07	30.02		195.87	193.77	194.52	195.25	26.894	26.894	26.894	26.894	1010.18	68.546	26.894	---	---	6.813	6.914	6.908	6.882	58.428	71.035	29.233	59.441	0.678	0.852	0.672	0.655	
11/11/2025	18:57:12	35.02		195.89	193.77	194.02	195.28	26.893	26.893	26.893	26.893	1010.17	68.584	26.893	---	---	6.813	6.915	6.921	6.881	58.434	71.039	29.228	59.443	0.677	0.854	0.665	0.664	
11/11/2025	18:57:17	40.03		195.99	193.72	194.08	195.24	26.893	26.893	26.893	26.893	1010.17	68.622	26.893	---	---	6.811	6.916	6.920	6.882	58.435	71.047	29.219	59.443	0.672	0.854	0.673	0.664	
11/11/2025	18:57:22	45.02		196.25	193.72	194.24	195.22	26.895	26.895	26.895	26.895	1010.19	68.661	26.895	---	---	6.804	6.916	6.916	6.882	58.434	71.060	29.212	59.443	0.676	0.854	0.683	0.673	
11/11/2025	18:57:27	50.02		196.12	193.77	194.30	195.10	26.894	26.894	26.894	26.894	1010.20	68.696	26.894	---	---	6.807	6.914	6.914	6.885	58.431	71.072	29.199	59.443	0.677	0.845	0.692	0.666	
11/11/2025	18:57:32	55.02		196.05	193.75	194.34	195.00	26.894	26.894	26.894	26.894	1010.21	68.714	26.894	---	---	6.809	6.915	6.913	6.888	58.427	71.078	29.193	59.448	0.681	0.850	0.690	0.668	
11/11/2025	18:57:37	60.02		195.79	193.71	194.02	195.20	26.896	26.896	26.896	26.896	1010.23	68.722	26.896	---	---	6.815	6.915	6.921	6.882	58.429	71.087	29.181	59.452	0.682	0.856	0.690	0.666	
11/11/2025	18:57:42	65.03		195.72	193.70	194.23	195.30	26.898	26.898	26.898	26.898	1010.23	68.722	26.898	---	---	6.817	6.915	6.916	6.880	58.430	71.092	29.176	59.455	0.698	0.869	0.694	0.670	
11/11/2025	18:57:47	70.02		195.67	193.73	193.97	195.16	26.899	26.899	26.899	26.899	1010.20	68.714	26.899	---	---	6.818	6.914	6.922	6.883	58.427	71.099	29.164	59.457	0.699	0.876	0.704	0.666	
11/11/2025	18:57:52	75.03		195.81	193.65	194.06	194.95	26.898	26.898	26.898	26.898	1010.15	68.714	26.898	---	---	6.814	6.916	6.920	6.889	58.426	71.102	29.158	59.454	0.699	0.871	0.700	0.666	
11/11/2025	18:57:57	80.01		195.90	193.55	193.78	194.90	26.899	26.899	26.899	26.899	1010.13	68.724	26.899	---	---	6.812	6.919	6.926	6.890	58.423	71.102	29.152	59.453	0.688	0.869	0.690	0.665	
11/11/2025	18:58:02	85.02		196.04	193.48	193.66	195.07	26.903	26.903	26.903	26.903	1010.14	68.742	26.903	---	---	6.808	6.921	6.929	6.885	58.421	71.109	29.146	59.451	0.695	0.862	0.685	0.669	
11/11/2025	18:58:07	90.02		195.91	193.66	193.69	195.12	26.904	26.904	26.904	26.904	1010.17	68.762	26.904	---	---	6.811	6.916	6.928	6.884	58.419	71.113	29.135	59.454	0.696	0.862	0.686	0.663	
11/11/2025	18:58:12	95.01		195.91	193.80	193.93	195.25	26.905	26.905	26.905	26.905	1010.20	68.773	26.905	---	---	6.811	6.912	6.922	6.880	58.421	71.123	29.122	59.454	0.693	0.852	0.683	0.668	
11/11/2025	18:58:17	100.03		195.86	193.83	194.24	195.21	26.905	26.905	26.905	26.905	1010.20	68.791	26.905	---	---	6.812	6.911	6.914	6.881	58.425	71.125	29.108	59.453	0.683	0.851	0.683	0.663	
11/11/2025	18:58:22	105.02		196.00	193.68	194.40	195.15	26.906	26.906	26.906	26.906	1010.22	68.808	26.906	---	---	6.809	6.915	6.910	6.883	58.426	71.126	29.098	59.451	0.684	0.855	0.675	0.675	
11/11/2025	18:58:27	110.02		196.18	193.51	194.38	195.04	26.906	26.906	26.906	26.906	1010.22	68.834	26.906	---	---	6.804	6.919	6.910	6.885	58.427	71.131	29.085	59.446	0.695	0.865	0.684	0.674	
11/11/2025	18:58:32	115.03		196.03	193.47	194.22	194.93	26.906	26.906	26.906	26.906	1010.22	68.862	26.906	---	---	6.808	6.920	6.914	6.888	58.427	71.152	29.079	59.444	0.695	0.865	0.678	0.683	
11/11/2025	18:58:37	120.02		195.93	193.51	194.28	194.87	26.907	26.907	26.907	26.907	1010.21	68.890	26.907	---	---	6.810	6.919	6.913	6.889	58.427	71.180	29.063	59.441	0.693	0.857	0.681	0.680	
11/11/2025	18:58:42	125.01		195.78	193.63	194.31	194.87	26.907	26.907	26.907	26.907	1010.14	68.910	26.907	---	---	6.814	6.916	6.912	6.889	58.426	71.206	29.051	59.445	0.677	0.854	0.680	0.675	
11/11/2025	18:58:47	130.02		195.93	193.50	194.55	194.86	26.908	26.908	26.908	26.908	1010.14	68.920	26.908	---	---	6.810	6.919	6.906	6.889	58.424	71.219	29.038	59.442	0.685	0.854	0.681	0.671	
11/11/2025	18:58:52	135.03		195.82	193.50	194.15	194.90	26.907	26.907	26.907	26.907	1010.15	68.920	26.907	---	---	6.813	6.919	6.916	6.889	58.428	71.228	29.029	59.438	0.684	0.852	0.690	0.667	
11/11/2025	18:58:57	140.03		195.91	193.35	193.74	194.96	26.910	26.910	26.910	26.910	1010.24	68.920	26.910	---	---	6.810	6.922	6.926	6.887	58.429	71.233	29.022	59.432	0.686	0.846	0.685	0.669	
11/11/2025	18:59:02	145.02		195.86	193.45	193.58	195.02	26.909	26.909	26.909	26.909	1010.24	68.938	26.909	---	---	6.812	6.920	6.931	6.885	58.432	71.238	29.013	59.430	0.683	0.853	0.687	0.669	
11/11/2025	18:59:07	150.02		196.09	193.47	193.72	194.96	26.910	26.910	26.910	26.910	1010.24	68.956	26.910	---	---	6.806	6.919	6.927	6.887	58.429	71.245	29.006	59.429	0.690	0.851	0.679	0.672	
11/11/2025	18:59:12	155.02		195.99	193.36	193.89	194.84	26.910	26.910	26.910	26.910	1010.19	68.984	26.910	---	---	6.808	6.922	6.922	6.890	58.429	71.252	28.996	59.429	0.697	0.853	0.680	0.663	
11/11/2025	18:59:17	160.02		195.99	193.39	194.04	194.87	26.913	26.913	26.913	26.913	1010.19	69.002	26.913	---	---	6.808	6.921	6.918	6.889	58.430	71.262	28.987	59.430	0.688	0.842	0.682	0.659	
11/11/2025	18:59:22	165.02		195.88	193.17	193.93	195.04	26.914	26.914	26.914	26.914	1010.17	69.029	26.914	---	---	6.811	6.927	6.921	6.884	58.428	71.270	28.978	59.435	0.681	0.839	0.683	0.652	
11/11/2025	18:59:27	170.02		195.88	193.33	193.93	195.13	26.914	26.914	26.914	26.914	1010.18	69.047	26.914	---	---	6.811	6.922	6.921	6.882	58.428	71.278	28.971	59.438	0.675	0.845	0.686	0.657	
11/11/2025	18:59:32	175.02		195.98	193.29	194.03	195.02	26.912	26.912	26.912	26.912	1010.22	69.057	26.912	---	---	6.808	6.924	6.918	6.885	58.424	71.284	28.968	59.443	0.676	0.854	0.686	0.655	
11/11/2025	18:59:37	180.02		195.97	193.31	194.17	194.95	26.913	26.913	26.913	26.913	1010.22	69.057	26.913	---	---	6.809	6.923	6.915	6.887	58.427	71.287	28.963	59.442	0.681	0.865	0.683	0.660	
11/11/2025	18:59:42	185.02		195.93	193.15	194.16	194.92	26.913	26.913	26.913	26.913	1010.19	69.057	26.913	---	---	6.809	6.927	6.915	6.887	58.424	71.288	28.964	59.441	0.682	0.856	0.685	0.667	
11/11/2025	18:59:47	190.03		195.90	193.23	193.88	195.19	26.918	26.918	26.918	26.918	1010.19	69.067	26.918	---	---	6.810	6.924	6.922	6.880	58.423	71.289	28.964	59.437	0.686	0.860	0.684	0.675	
11/11/2025	18:59:52	195.02		195.96	193.40	193.65	195.27	26.919	26.919	26.919	26.919	1010.19	69.078	26.919	---	---	6.808	6.920	6.927	6.878	58.418	71.290	28.967	59.435	0.688	0.863	0.690	0.682	
11/11/2025	18:59:57	200.03		195.94	193.61	193.64	195.31	26.920	26.920	26.920	26.920	1010.21	69.088	26.920	---	---	6.808	6.915	6.928	6.877	58.420	71.298	28.963	59.437	0.693	0.871	0.696	0.676	
11/11/2025	19:00:02	205.02		195.87	193.37	193.75	195.00	26.920	26.920	26.920	26.920	1010.18	69.096	26.920	---	---	6.810	6.921	6.925	6.884	58.417	71.305	28.954	59.439	0.694	0.860	0.689	0.678	
11/11/2025	19:00:07	210.02		195.85	193.40	193.88	194.87	26.921	26.921	26.921	26.921	1010.18	69.103	26.921	---	---	6.810	6.920	6.921	6.888	58.420	71.313	28.946	59.443	0.694	0.858	0.680	0.671	
11/11/2025	19:00:12	215.02		195.77	193.31	193.97	194.78	26.921	26.921	26.921	26.921	1010.20	69.111	26.921	---	---	6.812	6.922	6.919	6.890	58.416	71.319	28.937	59.442	0.688	0.856	0.670	0.671	
11/11/2025	19:00:17	220.02		195.62	193.48	193.72	194.92	26.920	26.920	26.920	26.920	1010.20	69.111	26.920	---	---	6.816	6.918	6.925	6.886	58.419	71.321	28.931	59.438	0.689	0.863	0.671	0.661	
11/11/2025	19:00:22	225.02		195.68	193.30	193.94	195.03	26.920	26.920	26.920	26.920	1010.22	69.121	26.920	---	---	6.815	6.922	6.920	6.884	58.416	71.333	28.920	59.436	0.691	0.858	0.681	0.668	
11/11/2025	19:00:27	230.03		195.99	193.14	193.87	195.00	26.921	26.921	26.921	26.921	1010.22	69.131	26.921	---	---	6.807	6.926	6.921	6.884	58.416	71.353	28.910	59.436	0.693	0.856	0.688	0.673	
11/11/2025	19:00:32	235.02		195.92	193.24	193.89	194.85	26.923	26.923	26.923	26.923	1010.23	69.141	26.923	---	---	6.808	6.924	6.921	6.888	58.416	71.378	28.904	59.438	0.693	0.862	0.687	0.683	
11/11/2025	19:00:37	240.03		195.74	193.25	193.50	194.83	26.925	26.925	26.925	26.925	1010.21	69.141	26.925	---	---	6.813	6.923	6.930	6.888	58.418	71.397	28.901	59.439	0.685	0.871	0.680	0.682	
11/11/2025	19:00:42	245.03		195.41	193.27	193.36	194.84	26.925	26.925	26.925	26.925	1010.17	69.141	26.925	---	---	6.821	6.923	6.934	6.888	58.421	71.402	28.897	59.435	0.692	0.878	0.673	0.682	
11/11/2025	19:00:47	250.02		195.63	193.17	193.67	195.13	26.924	26.924	26.924	26.924	1010.18	69.141	26.924	---	---	6.815	6.925	6.926	6.881	58.419	71.415	28.890	59.430	0.694	0.881	0.677	0.675	
11/11/2025	19:00:52	255.03		195.75	193.20	193.98	195.06	26.925	26.925	26.925	26.925	1010.20	69.141	26.925	---	---	6.812	6.925	6.918	6.882	58.419	71.421	28.883	59.425	0.707	0.879	0.684	0.669	
11/11/2025	19:00:57	260.01		195.87	193.28	194.08	195.13	26.926	26.926	26.926	26.926	1010.22	69.151	26.926	---	---	6.809	6.922	6.916	6.880	58.416	71.425	28.877	59.424	0.697	0.880	0.682	0.670	
11/11/2025	19:01:02	265.02		195.71	193.04	194.04	194.94	26.927	26.927	26.927	26.927	1010.15	69.162	26.927	---	---	6.813	6.928	6.917	6.885	58.416	71.420	28.868	59.427	0.692	0.867	0.688	0.672	
11/11/2025	19:01:07	270.02		195.82	193.16	193.82	195.00	26.927	26.927	26.927	26.927	1010.15	69.172	26.927	---	---	6.810	6.925	6.922	6.883	58.416	71.422	28.863	59.421	0.687	0.860	0.688	0.680	
11/11/2025	19:01:12	275.02		195.71	193.29	193.92	195.10	26.928	26.928	26.928	26.928	1010.15	69.180	26.928	---	---	6.813	6.922	6.919	6.881	58.417	71.429	28.855	59.422	0.698	0.848	0.696	0.678	
11/11/2025	19:01:17	280.02		195.78	193.51	193.78	195.19	26.927	26.927	26.927	26.927	1010.19	69.197	26.927	---	---	6.811	6.916	6.923	6.879	58.417	71.434	28.850	59.417	0.700	0.857	0.686	0.679	
11/11/2025	19:01:22	285.02		195.90	193.56	194.00	195.09	26.927	26.927	26.927	26.927	1010.20	69.225	26.927	---	---	6.808	6.915	6.917	6.881	58.423	71.436	28.847	59.417	0.706	0.858	0.688	0.671	
11/11/2025	19:01:27	290.02		196.05	193.43	194.05	195.05	26.928	26.928	26.928	26.928	1010.21	69.246	26.928	---	---	6.805	6.918	6.916	6.882	58.424	71.440	28.849	59.418	0.695	0.869	0.684	0.671	
11/11/2025	19:01:32	295.03		195.85	193.49	194.06	194.98	26.932	26.932	26.932	26.932	1010.23	69.256	26.932	---	---	6.809	6.916	6.915	6.883	58.426	71.446	28.848	59.419	0.692	0.859	0.695	0.672	
11/11/2025	19:01:37	300.02		195.50	193.59	194.09	195.01	26.934	26.934	26.934	26.934	1010.23	69.256	26.934	---	---	6.817	6.913	6.914	6.882	58.428	71.451	28.842	59.417	0.678	0.847	0.684	0.674	
11/11/2025	19:01:42	305.03		195.38	193.51	194.13	194.89	26.936	26.936	26.936	26.936	1010.24	69.256	26.936	---	---	6.820	6.915	6.913	6.885	58.431	71.455	28.834	59.416	0.679	0.830	0.677	0.668	
11/11/2025	19:01:47	310.02		195.56	193.57	194.26	194.92	26.935	26.935	26.935	26.935	1010.25	69.246	26.935	---	---	6.816	6.914	6.910	6.884	58.434	71.462	28.836	59.416	0.684	0.842	0.671	0.658	
11/11/2025	19:01:52	315.02		195.61	193.24	193.98	194.94	26.934	26.934	26.934	26.934	1010.23	69.235	26.934	---	---	6.815	6.922	6.917	6.884	58.428	71.469	28.835	59.422	0.695	0.846	0.671	0.658	
11/11/2025	19:01:57	320.03		195.51	193.54	193.31	194.90	26.934	26.934	26.934	26.934	1010.23	69.235	26.934	---	---	6.817	6.915	6.934	6.885	58.427	71.473	28.833	59.421	0.694	0.848	0.678	0.663	
11/11/2025	19:02:02	325.02		195.63	193.53	192.74	194.91	26.935	26.935	26.935	26.935	1010.22	69.246	26.935	---	---	6.814	6.914	6.949	6.885	58.427	71.479	28.824	59.417	0.691	0.838	0.671	0.671	
11/11/2025	19:02:07	330.03		195.82	193.48	192.74	195.01	26.937	26.937	26.937	26.937	1010.21	69.256	26.937	---	---	6.809	6.915	6.949	6.882	58.435	71.476	28.814	59.415	0.688	0.835	0.670	0.668	
11/11/2025	19:02:12	335.03		195.95	193.15	192.90	195.05	26.937	26.937	26.937	26.937	1010.21	69.264	26.937	---	---	6.806	6.924	6.945	6.881	58.434	71.475	28.809	59.412	0.694	0.834	0.666	0.668	
11/11/2025	19:02:17	340.02		195.85	193.15	193.12	195.02	26.940	26.940	26.940	26.940	1010.24	69.271	26.940	---	---	6.808	6.924	6.939	6.881	58.434	71.473	28.803	59.409	0.705	0.838	0.677	0.667	
11/11/2025	19:02:22	345.03		195.61	193.37	193.19	194.87	26.941	26.941	26.941	26.941	1010.26	69.279	26.941	---	---	6.814	6.918	6.936	6.885	58.432	71.477	28.801	59.404	0.707	0.852	0.682	0.673	
11/11/2025	19:02:27	350.02		195.64	193.59	193.25	194.87	26.941	26.941	26.941	26.941	1010.28	69.279	26.941	---	---	6.813	6.912	6.935	6.885	58.435	71.481	28.796	59.398	0.700	0.853	0.682	0.672	
11/11/2025	19:02:32	355.02		195.63	193.56	193.63	194.95	26.940	26.940	26.940	26.940	1010.23	69.271	26.940	---	---	6.813	6.914	6.925	6.883	58.435	71.480	28.789	59.392	0.686	0.842	0.673	0.663	
11/11/2025	19:02:37	360.03		195.97	193.38	193.36	195.08	26.941	26.941	26.941	26.941	1010.25	69.264	26.941	---	---	6.805	6.918	6.932	6.880	58.434	71.480	28.780	59.388	0.670	0.834	0.669	0.663	
11/11/2025	19:02:42	365.02		196.06	193.28	193.35	195.18	26.942	26.942	26.942	26.942	1010.23	69.256	26.942	---	---	6.803	6.920	6.932	6.877	58.437	71.482	28.774	59.388	0.669	0.829	0.666	0.664	
11/11/2025	19:02:47	370.02		195.92	193.34	193.19	195.25	26.942	26.942	26.942	26.942	1010.23	69.256	26.942	---	---	6.806	6.919	6.936	6.875	58.437	71.491	28.771	59.392	0.669	0.838	0.671	0.663	
11/11/2025	19:02:52	375.01		195.54	193.62	193.78	195.15	26.942	26.942	26.942	26.942	1010.24	69.256	26.942	---	---	6.815	6.911	6.921	6.878	58.438	71.499	28.775	59.390	0.673	0.835	0.670	0.658	
11/11/2025	19:02:57	380.01		195.38	193.74	193.72	195.16	26.941	26.941	26.941	26.941	1010.24	69.256	26.941	---	---	6.819	6.908	6.923	6.878	58.439	71.508	28.777	59.392	0.676	0.842	0.677	0.655	
11/11/2025	19:03:02	385.03		195.41	193.49	193.30	195.05	26.943	26.943	26.943	26.943	1010.25	69.256	26.943	---	---	6.818	6.914	6.933	6.880	58.435	71.508	28.771	59.386	0.675	0.838	0.679	0.666	
11/11/2025	19:03:07	390.02		195.38	193.55	193.19	195.05	26.943	26.943	26.943	26.943	1010.24	69.256	26.943	---	---	6.819	6.913	6.936	6.880	58.437	71.516	28.762	59.385	0.679	0.848	0.688	0.668	
11/11/2025	19:03:12	395.02		195.43	193.41	193.10	194.93	26.944	26.944	26.944	26.944	1010.24	69.264	26.944	---	---	6.818	6.917	6.938	6.883	58.436	71.520	28.755	59.382	0.682	0.849	0.680	0.666	
11/11/2025	19:03:17	400.02		195.52	193.66	193.47	195.01	26.944	26.944	26.944	26.944	1010.21	69.281	26.944	---	---	6.816	6.910	6.929	6.881	58.440	71.527	28.753	59.381	0.693	0.849	0.686	0.665	
11/11/2025	19:03:22	405.01		195.69	193.56	193.37	194.99	26.945	26.945	26.945	26.945	1010.14	69.299	26.945	---	---	6.811	6.912	6.931	6.881	58.440	71.528	28.748	59.385	0.693	0.837	0.676	0.665	
11/11/2025	19:03:27	410.03		195.60	193.50	193.47	194.99	26.947	26.947	26.947	26.947	1010.14	69.309	26.947	---	---	6.813	6.914	6.928	6.881	58.444	71.525	28.738	59.382	0.695	0.839	0.687	0.674	
11/11/2025	19:03:32	415.01		195.58	193.58	192.97	194.90	26.947	26.947	26.947	26.947	1010.21	69.309	26.947	---	---	6.814	6.912	6.941	6.883	58.444	71.526	28.731	59.383	0.690	0.848	0.674	0.677	
11/11/2025	19:03:37	420.03		195.60	193.61	193.29	194.93	26.947	26.947	26.947	26.947	1010.25	69.309	26.947	---	---	6.813	6.911	6.933	6.882	58.447	71.529	28.724	59.377	0.691	0.852	0.683	0.674	
11/11/2025	19:03:42	425.01		195.75	193.59	193.72	194.97	26.948	26.948	26.948	26.948	1010.24	69.309	26.948	---	---	6.809	6.911	6.922	6.881	58.442	71.537	28.721	59.375	0.690	0.851	0.683	0.671	
11/11/2025	19:03:47	430.01		195.73	193.37	193.71	195.08	26.947	26.947	26.947	26.947	1010.22	69.309	26.947	---	---	6.810	6.917	6.922	6.879	58.447	71.540	28.716	59.373	0.688	0.851	0.693	0.660	
11/11/2025	19:03:52	435.02		195.86	193.28	192.70	194.88	26.946	26.946	26.946	26.946	1010.27	69.309	26.946	---	---	6.807	6.920	6.948	6.884	58.449	71.542	28.709	59.379	0.688	0.857	0.687	0.660	
11/11/2025	19:03:57	440.02		195.82	193.51	192.60	194.74	26.946	26.946	26.946	26.946	1010.26	69.309	26.946	---	---	6.808	6.914	6.951	6.887	58.452	71.549	28.702	59.380	0.692	0.861	0.692	0.656	
11/11/2025	19:04:02	445.02		195.75	193.56	193.12	194.60	26.949	26.949	26.949	26.949	1010.26	69.309	26.949	---	---	6.809	6.912	6.937	6.890	58.448	71.552	28.691	59.379	0.704	0.861	0.692	0.662	
11/11/2025	19:04:07	450.02		195.32	193.66	193.82	194.81	26.951	26.951	26.951	26.951	1010.17	69.309	26.951	---	---	6.820	6.909	6.919	6.885	58.450	71.560	28.681	59.374	0.708	0.866	0.697	0.669	
11/11/2025	19:04:12	455.02		195.15	193.44	193.14	194.83	26.954	26.954	26.954	26.954	1010.18	69.309	26.954	---	---	6.824	6.914	6.936	6.884	58.454	71.558	28.675	59.381	0.708	0.875	0.688	0.682	
11/11/2025	19:04:17	460.03		195.12	193.50	192.42	194.78	26.955	26.955	26.955	26.955	1010.19	69.299	26.955	---	---	6.824	6.913	6.954	6.885	58.457	71.567	28.674	59.387	0.696	0.878	0.684	0.687	
11/11/2025	19:04:22	465.03		195.19	193.64	192.05	194.64	26.957	26.957	26.957	26.957	1010.19	69.281	26.957	---	---	6.822	6.909	6.964	6.888	58.452	71.571	28.669	59.389	0.701	0.884	0.689	0.687	
11/11/2025	19:04:27	470.01		195.43	193.94	192.09	194.76	26.955	26.955	26.955	26.955	1010.20	69.264	26.955	---	---	6.816	6.901	6.963	6.886	58.448	71.579	28.663	59.386	0.689	0.876	0.691	0.674	
11/11/2025	19:04:32	475.03		195.70	193.73	192.92	194.83	26.955	26.955	26.955	26.955	1010.14	69.256	26.955	---	---	6.810	6.907	6.941	6.884	58.447	71.577	28.656	59.388	0.684	0.871	0.686	0.670	
11/11/2025	19:04:37	480.02		195.82	193.59	192.58	194.79	26.954	26.954	26.954	26.954	1010.14	69.256	26.954	---	---	6.807	6.911	6.950	6.885	58.446	71.579	28.651	59.394	0.677	0.858	0.686	0.671	
11/11/2025	19:04:42	485.02		195.58	193.25	193.28	194.77	26.958	26.958	26.958	26.958	1010.14	69.246	26.958	---	---	6.812	6.919	6.932	6.885	58.440	71.577	28.644	59.397	0.690	0.849	0.682	0.675	
11/11/2025	19:04:47	490.03		195.30	193.51	193.33	194.79	26.959	26.959	26.959	26.959	1010.15	69.246	26.959	---	---	6.819	6.912	6.930	6.884	58.445	71.586	28.637	59.390	0.693	0.841	0.685	0.671	
11/11/2025	19:04:52	495.02		195.28	193.29	194.17	195.02	26.965	26.965	26.965	26.965	1010.16	69.246	26.965	---	---	6.819	6.917	6.908	6.878	58.453	71.587	28.633	59.387	0.700	0.846	0.669	0.667	
11/11/2025	19:04:57	500.02		195.19	193.50	194.15	194.84	26.966	26.966	26.966	26.966	1010.12	69.264	26.966	---	---	6.821	6.911	6.908	6.882	58.458	71.606	28.623	59.395	0.694	0.850	0.671	0.670	
11/11/2025	19:05:02	505.02		195.30	193.35	194.36	194.82	26.967	26.967	26.967	26.967	1010.11	69.271	26.967	---	---	6.818	6.915	6.903	6.883	58.457	71.616	28.616	59.400	0.694	0.850	0.673	0.672	
11/11/2025	19:05:07	510.02		195.18	193.42	193.77	194.59	26.967	26.967	26.967	26.967	1010.14	69.279	26.967	---	---	6.821	6.913	6.918	6.888	58.459	71.646	28.610	59.404	0.691	0.846	0.676	0.678	
